,school_name,address,postal_code,school_type,lat,long
173,MILLENNIA INSTITUTE,60   Bukit Batok West Avenue 8,658965,CENTRALISED INSTITUTE,1.35031929565511,103.741593553753
174,MONTFORT JUNIOR SCHOOL,52   HOUGANG AVENUE 8,538786,PRIMARY,1.37362445234082,103.889741457901
175,MONTFORT SECONDARY SCHOOL,50   HOUGANG AVENUE 8,538785,SECONDARY,1.37395067790905,103.888859849008
176,NAN CHIAU HIGH SCHOOL,20   ANCHORVALE LINK,545079,SECONDARY,1.38868744166162,103.890286215943
177,NAN CHIAU PRIMARY SCHOOL,50   ANCHORVALE LINK,545080,PRIMARY,1.39206468503473,103.890924976943
178,NAN HUA HIGH SCHOOL,41   CLEMENTI AVENUE 1,129956,SECONDARY,1.30814121110616,103.769015435345
179,NAN HUA PRIMARY SCHOOL,30   Jalan Lempeng,128806,PRIMARY,1.31983663784769,103.761403957527
180,NANYANG GIRLS' HIGH SCHOOL,2    LINDEN DRIVE,288683,SECONDARY,1.33068756966784,103.802385418763
181,NANYANG JUNIOR COLLEGE,128  SERANGOON AVENUE 3,556111,JUNIOR COLLEGE,1.35028314921863,103.86649872164
182,NANYANG PRIMARY SCHOOL,52   KING'S ROAD,268097,PRIMARY,1.32107094241153,103.807681852799
183,NATIONAL JUNIOR COLLEGE,37   HILLCREST ROAD,288913,MIXED LEVELS,1.33042992800755,103.804458713785
184,NAVAL BASE PRIMARY SCHOOL,7    YISHUN AVE 4,769028,PRIMARY,1.41590195697649,103.839100590207
185,NAVAL BASE SECONDARY SCHOOL,901  YISHUN RING ROAD,768689,SECONDARY,1.41924529293611,103.831044083051
186,NEW TOWN PRIMARY SCHOOL,300  Tanglin Halt Road,148812,PRIMARY,1.29981138884057,103.799964819895
187,NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD,139657,SECONDARY,1.30998631560773,103.773248973337
188,NGEE ANN PRIMARY SCHOOL,344  MARINE TERRACE,449149,PRIMARY,1.30553224180437,103.917570005713
189,NGEE ANN SECONDARY SCHOOL,1    TAMPINES STREET 32,529283,SECONDARY,1.35439823902076,103.956744685155
190,NORTH SPRING PRIMARY SCHOOL,1    RIVERVALE STREET,545088,PRIMARY,1.38752823629059,103.903512956253
191,NORTH VIEW PRIMARY SCHOOL,210  YISHUN AVENUE 6,768960,PRIMARY,1.42745159462566,103.848378442893
192,NORTH VISTA PRIMARY SCHOOL,20   Compassvale Link,544974,PRIMARY,1.38255066171151,103.89626457548
193,NORTH VISTA SECONDARY SCHOOL,11   RIVERVALE LINK,545081,SECONDARY,1.38125201421054,103.898926885819
194,NORTHBROOKS SECONDARY SCHOOL,585  YISHUN RING ROAD,768692,SECONDARY,1.42088102487937,103.845060254432
195,NORTHLAND PRIMARY SCHOOL,15   YISHUN AVENUE 4,769026,PRIMARY,1.42130404159807,103.840792923345
196,NORTHLAND SECONDARY SCHOOL,3    YISHUN STREET 22,768578,SECONDARY,1.43573962048442,103.840104687873
197,NORTHLIGHT SCHOOL,151  Towner Road,327830,SECONDARY,1.31982824931405,103.856326613258
198,NORTHOAKS PRIMARY SCHOOL,61   Sembawang Drive,757622,PRIMARY,1.45732867302094,103.814075611175
199,NORTHSHORE PRIMARY SCHOOL,30   Northshore Drive,828671,PRIMARY,1.41842322079348,103.905147201163
200,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20   Clementi Avenue 1,129957,MIXED LEVELS,1.30662098788484,103.769412493042
201,OASIS PRIMARY SCHOOL,71   Edgefield Plains,828716,PRIMARY,1.40507184758584,103.911200193835
202,OPERA ESTATE PRIMARY SCHOOL,48   FIDELIO STREET,458436,PRIMARY,1.31996876377748,103.923752668632
203,ORCHID PARK SECONDARY SCHOOL,10   YISHUN STREET 81,768454,SECONDARY,1.41488818714439,103.838334919821
204,OUTRAM SECONDARY SCHOOL,3    YORK HILL,168622,SECONDARY,1.28638748563468,103.83707282942
205,PALM VIEW PRIMARY SCHOOL,150  Compassvale Bow,544822,PRIMARY,1.38384076410294,103.891215105298
206,PARK VIEW PRIMARY SCHOOL,60   PASIR RIS DRIVE 1,519524,PRIMARY,1.37801687647812,103.9392021807
207,PASIR RIS CREST SECONDARY SCHOOL,11   PASIR RIS STREET 41,518934,SECONDARY,1.37234390824993,103.959362578923
208,PASIR RIS PRIMARY SCHOOL,5    PASIR RIS STREET 21,518968,PRIMARY,1.37245132722087,103.962922699031
209,PASIR RIS SECONDARY SCHOOL,390  TAMPINES STREET 21,529400,SECONDARY,1.35463956600893,103.948614671461
210,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298  LORONG AH SOO,536741,PRIMARY,1.3502545600894,103.884846876112
211,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296  LOR AH SOO,536742,SECONDARY,1.35080512809598,103.885586605006
212,PEI CHUN PUBLIC SCHOOL,16   LORONG 7 TOA PAYOH,319320,PRIMARY,1.33677864390672,103.855341310212
213,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7    PEI WAH AVENUE,597610,PRIMARY,1.33807302121151,103.776250903095
214,PEI HWA SECONDARY SCHOOL,21   FERNVALE LINK,797702,SECONDARY,1.39038045690064,103.878593470104
215,PEI TONG PRIMARY SCHOOL,15   CLEMENTI AVENUE 5,129857,PRIMARY,1.31666529308968,103.767438999533
216,PEICAI SECONDARY SCHOOL,10   SERANGOON AVENUE 4,556094,SECONDARY,1.35927324855325,103.870492278166
217,PEIRCE SECONDARY SCHOOL,10   SIN MING WALK,575566,SECONDARY,1.3661316757859,103.829910355399
218,PEIYING PRIMARY SCHOOL,651  YISHUN RING ROAD,768687,PRIMARY,1.41741627551251,103.830143209875
219,PING YI SECONDARY SCHOOL,61   CHAI CHEE STREET,468980,SECONDARY,1.32714028536062,103.920835754422
220,PIONEER PRIMARY SCHOOL,23   JURONG WEST STREET 81,649076,PRIMARY,1.34883617453427,103.695003812477
221,POI CHING SCHOOL,21   TAMPINES STREET 71,529067,PRIMARY,1.35765121877679,103.935246486174
222,PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,569845,SECONDARY,1.38175437421949,103.842382968794
223,PRINCESS ELIZABETH PRIMARY SCHOOL,30   BUKIT BATOK WEST AVENUE 3,659163,PRIMARY,1.34919098857585,103.740719208011
224,PUNGGOL COVE PRIMARY SCHOOL,52   Sumang Walk,828674,PRIMARY,1.41158455562454,103.89890448429
225,PUNGGOL GREEN PRIMARY SCHOOL,98   Punggol Walk,828772,PRIMARY,1.40172590450528,103.898794262307
226,PUNGGOL PRIMARY SCHOOL,61   HOUGANG AVENUE 8,538787,PRIMARY,1.37820062547641,103.894667159512
227,PUNGGOL SECONDARY SCHOOL,51   EDGEFIELD PLAINS,828870,SECONDARY,1.40212629480045,103.909119265199
228,PUNGGOL VIEW PRIMARY SCHOOL,9    Punggol Place,828845,PRIMARY,1.40505250226058,103.905299026568
229,QIFA PRIMARY SCHOOL,50   WEST COAST AVENUE,128104,PRIMARY,1.3132658326807,103.756629101811
230,QIHUA PRIMARY SCHOOL,5    WOODLANDS STREET 81,738525,PRIMARY,1.44203596557592,103.788339762066
231,QUEENSTOWN PRIMARY SCHOOL,310  MARGARET DR,149303,PRIMARY,1.29552905587752,103.807648475656
232,QUEENSTOWN SECONDARY SCHOOL,1    STRATHMORE ROAD,148800,SECONDARY,1.2935332938077,103.81317546974
233,QUEENSWAY SECONDARY SCHOOL,2A   MARGARET DRIVE,149295,SECONDARY,1.30047516692949,103.80172361393
234,RADIN MAS PRIMARY SCHOOL,1    BUKIT PURMEI AVENUE,99840,PRIMARY,1.27489701529771,103.824115781658
235,RAFFLES GIRLS' PRIMARY SCHOOL,21   Hillcrest Road,289072,PRIMARY,1.33004178068277,103.806397828938
236,RAFFLES GIRLS' SCHOOL (SECONDARY),2    BRADDELL RISE,318871,SECONDARY,1.3428994546147,103.84319823516
237,RAFFLES INSTITUTION,1    RAFFLES INSTITUTION LANE,575954,MIXED LEVELS,1.34576108663813,103.845982874935
238,RED SWASTIKA SCHOOL,350  BEDOK NORTH AVENUE 3,469719,PRIMARY,1.33405659580859,103.934317528484
239,REGENT SECONDARY SCHOOL,50   CHOA CHU KANG NORTH 5,689621,SECONDARY,1.39309408182711,103.750685553271
240,RIVER VALLEY HIGH SCHOOL,6    BOON LAY AVENUE,649961,MIXED LEVELS,1.34459584223718,103.708190688947
241,RIVER VALLEY PRIMARY SCHOOL,2    RIVER VALLEY GREEN,237993,PRIMARY,1.29418347842837,103.836018941571
242,RIVERSIDE PRIMARY SCHOOL,110  Woodlands Crescent,737803,PRIMARY,1.44700426493785,103.801889031334
243,RIVERSIDE SECONDARY SCHOOL,3    WOODLANDS STREET 81,738524,SECONDARY,1.44106359378157,103.78836577797
244,RIVERVALE PRIMARY SCHOOL,80   RIVERVALE DRIVE,545092,PRIMARY,1.39333506298213,103.904545253288
245,ROSYTH SCHOOL,21   Serangoon North Avenue 4,555855,PRIMARY,1.3728583654058,103.87477170399
246,RULANG PRIMARY SCHOOL,6    JURONG WEST STREET 52,649295,PRIMARY,1.34684445616169,103.719009824408
247,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1    Technology Drive,138572,SECONDARY,1.31316278617555,103.773954126122
248,"SCHOOL OF THE ARTS, SINGAPORE",1    Zubir Said Drive,227968,MIXED LEVELS,1.29935139016521,103.848721814414
249,SEMBAWANG PRIMARY SCHOOL,10   SEMBAWANG DRIVE,757715,PRIMARY,1.4457453096024,103.821152676215
250,SEMBAWANG SECONDARY SCHOOL,30   SEMBAWANG CRESCENT,757704,SECONDARY,1.44531502131387,103.816843258118
251,SENG KANG PRIMARY SCHOOL,21   COMPASSVALE WALK,545166,PRIMARY,1.38925044778224,103.899527879229
252,SENG KANG SECONDARY SCHOOL,10   COMPASSVALE LANE,545090,SECONDARY,1.38609933038598,103.898393057284
253,SENGKANG GREEN PRIMARY SCHOOL,15   Fernvale Road,797636,PRIMARY,1.3925400930811,103.874984869551
254,SERANGOON GARDEN SECONDARY SCHOOL,21   SERANGOON NORTH AVENUE 1,555889,SECONDARY,1.3698904842453,103.86914972225
255,SERANGOON SECONDARY SCHOOL,11   UPPER SERANGOON VIEW,534237,SECONDARY,1.37555533250023,103.901910363999
256,SHUQUN PRIMARY SCHOOL,8    JURONG WEST STREET 51,649332,PRIMARY,1.34686967259067,103.721559387203
257,SI LING PRIMARY SCHOOL,61   WOODLANDS AVENUE 1,739067,PRIMARY,1.4326998657579,103.785778769275
258,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190  DUNEARN ROAD,309437,PRIMARY,1.3211164354321,103.828024366958
259,SINGAPORE CHINESE GIRLS' SCHOOL,190  DUNEARN ROAD,309437,SECONDARY,1.3211164354321,103.828024366958
260,SINGAPORE SPORTS SCHOOL,1    Champions Way,737913,MIXED LEVELS,1.42641192959594,103.789436172815
261,SOUTH VIEW PRIMARY SCHOOL,6    Choa Chu Kang Central,689762,PRIMARY,1.38143123987698,103.747153671
262,SPECTRA SECONDARY SCHOOL,1    WOODLANDS DRIVE 64,737758,SECONDARY,1.43643850246342,103.804432703156
263,SPRINGDALE PRIMARY SCHOOL,71   Anchorvale Link,544799,PRIMARY,1.39528544463377,103.889416413501
264,SPRINGFIELD SECONDARY SCHOOL,30   TAMPINES AVENUE 8,529593,SECONDARY,1.34957563160043,103.930218334123
265,ST. ANDREW'S JUNIOR COLLEGE,5    Sorby Adams Drive,357691,JUNIOR COLLEGE,1.33278888819865,103.86348127954
266,ST. ANDREW'S JUNIOR SCHOOL,2    FRANCIS THOMAS DRIVE,359337,PRIMARY,1.33136041631121,103.865178864784
267,ST. ANDREW'S SECONDARY SCHOOL,15   FRANCIS THOMAS DRIVE,359342,SECONDARY,1.33099027392774,103.8659461403
268,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4,469701,PRIMARY,1.33480685527666,103.941208873959
269,ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 BEDOK NORTH AVENUE 4,469700,SECONDARY,1.33496121372219,103.941668784027
270,ST. ANTHONY'S PRIMARY SCHOOL,30   Bukit Batok St 32,659401,PRIMARY,1.36463912533321,103.749294036695
271,ST. GABRIEL'S PRIMARY SCHOOL,220  Lorong Chuan,556742,PRIMARY,1.34930766795555,103.862309899986
272,ST. GABRIEL'S SECONDARY SCHOOL,24   SERANGOON AVENUE 1,556140,SECONDARY,1.34664416834558,103.875734242964
273,ST. HILDA'S PRIMARY SCHOOL,2    Tampines Ave 3,529706,PRIMARY,1.34967978969837,103.937016363397
274,ST. HILDA'S SECONDARY SCHOOL,2    TAMPINES STREET 82,528986,SECONDARY,1.35037576743342,103.936654688332
275,ST. JOSEPH'S INSTITUTION,38   MALCOLM ROAD,308274,MIXED LEVELS,1.32365560903136,103.828566506127
276,ST. JOSEPH'S INSTITUTION JUNIOR,3    ESSEX ROAD,309331,PRIMARY,1.31781476118551,103.845633334522
277,ST. MARGARET'S PRIMARY SCHOOL,2    Mattar Road,387724,PRIMARY,1.32446975138599,103.881623267693
278,ST. MARGARET'S SECONDARY SCHOOL,111  FARRER ROAD,259240,SECONDARY,1.31977464050584,103.809602215402
279,ST. PATRICK'S SCHOOL,490  EAST COAST ROAD,429058,SECONDARY,1.3080178597206,103.917461756621
280,ST. STEPHEN'S SCHOOL,20   SIGLAP VIEW,455789,PRIMARY,1.31881620631885,103.917526142651
281,STAMFORD PRIMARY SCHOOL,1    VICTORIA LANE,198423,PRIMARY,1.30385959862559,103.856955133139
282,SWISS COTTAGE SECONDARY SCHOOL,3    BUKIT BATOK STREET 34,659322,SECONDARY,1.36433390661249,103.750673669063
283,TAMPINES MERIDIAN JUNIOR COLLEGE,21   Pasir Ris Street 71,518799,JUNIOR COLLEGE,1.37674192921324,103.937553253083
284,TAMPINES NORTH PRIMARY SCHOOL,30   TAMPINES AVENUE 9,529565,PRIMARY,1.36048786025607,103.948768900518
285,TAMPINES PRIMARY SCHOOL,250  TAMPINES STREET 12,529426,PRIMARY,1.3504863946694,103.943573098509
286,TAMPINES SECONDARY SCHOOL,252  TAMPINES ST 12,529427,SECONDARY,1.34943480128048,103.943989096075
287,TANGLIN SECONDARY SCHOOL,301  WEST COAST ROAD,127391,SECONDARY,1.30977347800845,103.758215414315
288,TANJONG KATONG GIRLS' SCHOOL,20   Dunman Lane,439272,SECONDARY,1.3075626184394,103.896107204542
289,TANJONG KATONG PRIMARY SCHOOL,10   Seraya Road,437259,PRIMARY,1.30498489044822,103.899999965407
290,TANJONG KATONG SECONDARY SCHOOL,130  HAIG ROAD,438796,SECONDARY,1.30858337448721,103.897330120868
291,TAO NAN SCHOOL,49   MARINE CRESCENT,449761,PRIMARY,1.30504070009139,103.911132922585
292,TECK GHEE PRIMARY SCHOOL,1    ANG MO KIO STREET 32,569299,PRIMARY,1.36565018546903,103.851009800453
293,TECK WHYE PRIMARY SCHOOL,11   TECK WHYE WALK,688261,PRIMARY,1.38388660469396,103.753924558586
294,TECK WHYE SECONDARY SCHOOL,31   TECK WHYE CRESCENT,688848,SECONDARY,1.38334818086948,103.755182428471
295,TELOK KURAU PRIMARY SCHOOL,50   BEDOK RESERVOIR RD,479239,PRIMARY,1.33109611001931,103.911005345855
296,TEMASEK JUNIOR COLLEGE,22   BEDOK SOUTH ROAD,469278,MIXED LEVELS,1.31846190599674,103.935597970089
297,TEMASEK PRIMARY SCHOOL,501  BEDOK SOUTH AVE 3,469300,PRIMARY,1.31720341663064,103.94575943784
298,TEMASEK SECONDARY SCHOOL,600  UPPER EAST COAST ROAD,465561,SECONDARY,1.31577098514639,103.947147538809
299,TOWNSVILLE PRIMARY SCHOOL,3    ANG MO KIO AVE 10,569730,PRIMARY,1.35994649477568,103.853768994775
300,UNITY PRIMARY SCHOOL,21   CHOA CHU KANG CRESCENT,688268,PRIMARY,1.40278303219036,103.746801233973
301,UNITY SECONDARY SCHOOL,20   CHOA CHU KANG STREET 62,689143,SECONDARY,1.39966040841671,103.745882795532
302,VALOUR PRIMARY SCHOOL,49   Punggol Central,828728,PRIMARY,1.40744168163777,103.898762173662
303,VICTORIA JUNIOR COLLEGE,20   MARINE VISTA,449035,JUNIOR COLLEGE,1.30571796549429,103.919531033331
304,VICTORIA SCHOOL,2    SIGLAP LINK,448880,SECONDARY,1.30835682381158,103.927611509809
305,WATERWAY PRIMARY SCHOOL,70   Punggol Drive,828802,PRIMARY,1.39889261226315,103.918585924582
306,WELLINGTON PRIMARY SCHOOL,10   WELLINGTON CIRCLE,757702,PRIMARY,1.45168517614776,103.822516208087
307,WEST GROVE PRIMARY SCHOOL,1    JURONG WEST ST 72,649223,PRIMARY,1.34471211768915,103.698964212988
308,WEST SPRING PRIMARY SCHOOL,60   Bukit Panjang Ring Road,679946,PRIMARY,1.38917971808454,103.76639772288
309,WEST SPRING SECONDARY SCHOOL,61   SENJA  ROAD,677737,SECONDARY,1.38775648453462,103.760204513277
310,WEST VIEW PRIMARY SCHOOL,31   SENJA ROAD,677742,PRIMARY,1.38378546546228,103.760273432258
311,WESTWOOD PRIMARY SCHOOL,1    Jurong West Street 73,649188,PRIMARY,1.3477109654722,103.700467520791
312,WESTWOOD SECONDARY SCHOOL,11   JURONG WEST STREET 25,648350,SECONDARY,1.3535261354002,103.701604293889
313,WHITE SANDS PRIMARY SCHOOL,2    PASIR RIS ST 11,519075,PRIMARY,1.36563610941695,103.960861814678
314,WHITLEY SECONDARY SCHOOL,30   BISHAN STREET 24,579747,SECONDARY,1.35549462375779,103.842563881195
315,WOODGROVE PRIMARY SCHOOL,2    WOODLANDS DRIVE 14,738079,PRIMARY,1.43273620725049,103.79023031392
316,WOODGROVE SECONDARY SCHOOL,3    WOODLANDS AVENUE 6,738990,SECONDARY,1.42862831485658,103.79630400484
317,WOODLANDS PRIMARY SCHOOL,10   WOODLANDS DRIVE 50,738853,PRIMARY,1.43658270720199,103.791791282236
318,WOODLANDS RING PRIMARY SCHOOL,11   WOODLANDS RING ROAD,738240,PRIMARY,1.43485179380236,103.79741434351
319,WOODLANDS RING SECONDARY SCHOOL,10   WOODLANDS RING ROAD,738239,SECONDARY,1.43611367840374,103.800520528487
320,WOODLANDS SECONDARY SCHOOL,11   MARSILING ROAD,739111,SECONDARY,1.4391833170062,103.774498782083
321,XINGHUA PRIMARY SCHOOL,45   HOUGANG AVENUE 1,538882,PRIMARY,1.35799653782463,103.890216355459
322,XINGNAN PRIMARY SCHOOL,5    JURONG WEST STREET 91,649036,PRIMARY,1.34270639669225,103.687588478681
323,XINMIN PRIMARY SCHOOL,9    HOUGANG AVENUE 8,538784,PRIMARY,1.37176798317468,103.88280991785
324,XINMIN SECONDARY SCHOOL,11   HOUGANG AVENUE 8,538789,SECONDARY,1.3726429004882,103.883050531748
325,XISHAN PRIMARY SCHOOL,8    YISHUN STREET 21,768611,PRIMARY,1.43350145509511,103.838289310553
326,YANGZHENG PRIMARY SCHOOL,15   SERANGOON AVENUE 3,556108,PRIMARY,1.3489768083841,103.868467129954
327,YEW TEE PRIMARY SCHOOL,10   CHOA CHU KANG ST 64,689100,PRIMARY,1.39672603497195,103.751817992962
328,YIO CHU KANG PRIMARY SCHOOL,1    HOUGANG STREET 51,538720,PRIMARY,1.37782270940138,103.885568714764
329,YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5,569868,SECONDARY,1.37826335261873,103.841809445345
330,YISHUN INNOVA JUNIOR COLLEGE,3    YISHUN RING ROAD,768675,JUNIOR COLLEGE,1.42461884491728,103.829634359313
331,YISHUN PRIMARY SCHOOL,500  YISHUN RING ROAD,768679,PRIMARY,1.43397617334964,103.834050796658
332,YISHUN SECONDARY SCHOOL,4    YISHUN STREET 71,768516,SECONDARY,1.42813201188536,103.828814809222
333,YISHUN TOWN SECONDARY SCHOOL,6    YISHUN STREET 21,768610,SECONDARY,1.43260423932066,103.838011671738
334,YU NENG PRIMARY SCHOOL,56   BEDOK NORTH ST 3,469623,PRIMARY,1.33398037894072,103.932015036296
335,YUAN CHING SECONDARY SCHOOL,103  YUAN CHING ROAD,618654,SECONDARY,1.34189187145685,103.720630790899
336,YUHUA PRIMARY SCHOOL,158  JURONG EAST STREET 24,609558,PRIMARY,1.34291981622016,103.740861148879
337,YUHUA SECONDARY SCHOOL,35   JURONG WEST STREET 41,649406,SECONDARY,1.34721844938907,103.722581522719
338,YUMIN PRIMARY SCHOOL,3    TAMPINES STREET 21,529393,PRIMARY,1.35131569890862,103.950551091373
339,YUSOF ISHAK SECONDARY SCHOOL,11   BUKIT BATOK STREET 25,658712,SECONDARY,1.34233921440623,103.760032628302
340,YUYING SECONDARY SCHOOL,47   HOUGANG AVENUE 1,538884,SECONDARY,1.35693360328577,103.890457624477
341,ZHANGDE PRIMARY SCHOOL,51   Jalan Membina,169485,PRIMARY,1.28421153855474,103.825951884637
342,ZHENGHUA PRIMARY SCHOOL,9    Fajar Road,679002,PRIMARY,1.37942873617052,103.76970317201
343,ZHENGHUA SECONDARY SCHOOL,91   SENJA ROAD,677741,SECONDARY,1.38819702290612,103.765252306514
344,ZHONGHUA PRIMARY SCHOOL,12   SERANGOON AVENUE 4,556095,PRIMARY,1.36026072476019,103.869712517383
345,ZHONGHUA SECONDARY SCHOOL,13   SERANGOON AVENUE 3,556123,SECONDARY,1.34909736057023,103.869800034561
